ÈÕÆÚ,NASDAQ,SSEC,N225
2020-03-02,4.49,3.15,0.95
2020-03-03,-2.99,0.74,-1.22
2020-03-04,3.85,0.63,0.08
2020-03-05,-3.1,1.99,1.09
2020-03-06,-1.86,-1.21,-2.72
2020-03-09,-7.29,-3.01,-5.07
2020-03-10,4.95,1.82,0.85
2020-03-11,-4.7,-0.94,-2.27
2020-03-12,-9.43,-1.52,-4.41
2020-03-13,9.35,-1.23,-6.08
2020-03-16,-12.32,-3.4,-2.46
2020-03-17,6.23,-0.34,0.06
2020-03-18,-4.7,-1.83,-1.68
2020-03-19,2.3,-0.98,-1.04
2020-03-20,-3.79,1.61,0.19
2020-03-23,-0.27,-3.11,2.02
2020-03-24,8.12,2.34,7.13
2020-03-25,-0.45,2.17,8.04
2020-03-26,5.6,-0.6,-4.51
2020-03-27,-3.79,0.26,3.88
2020-03-30,3.62,-0.9,-1.57
2020-03-31,-0.95,0.11,-0.88
