id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2020-07-01 00:04:02,湖北,68135,0,63623,4512,0,0,,,,0,,0,0,,0
440000,2020-07-01 08:23:59,广东,1641,0,1627,8,0,0,,,,0,,0,0,,0
410000,2020-07-01 00:04:01,河南,1276,0,1254,22,0,0,,,,0,,0,0,,0
330000,2020-07-01 00:04:02,浙江,1269,0,1267,1,0,0,,,,0,,0,0,,0
810000,2020-07-01 10:43:48,香港,1205,0,1107,7,0,0,,,,2,,2,0,,0
430000,2020-07-01 00:04:02,湖南,1019,0,1015,4,0,0,,,,0,,0,0,,0
340000,2020-07-01 00:04:01,安徽,991,0,985,6,0,0,,,,0,,0,0,,0
230000,2020-07-01 00:04:01,黑龙江,947,0,934,13,0,0,,,,0,,0,0,,0
360000,2020-07-01 00:04:01,江西,932,0,931,1,0,0,,,,0,,0,0,,0
110000,2020-07-01 10:43:48,北京,922,0,587,9,0,0,328.0,0.0,2.0,3,,1,0,,2
370000,2020-07-01 00:04:02,山东,792,0,785,7,0,0,,,,0,,0,0,,0
310000,2020-07-01 15:28:52,上海,712,0,677,7,0,0,,,,0,,2,0,,-2
320000,2020-07-01 00:04:02,江苏,654,0,653,0,0,0,,,,0,,0,0,,0
510000,2020-07-01 10:43:48,四川,595,0,580,3,0,0,,,,0,,3,0,,0
500000,2020-07-01 00:04:02,重庆,582,0,573,6,0,0,,,,0,,0,0,,0
700000,2020-07-01 15:28:52,台湾,447,0,438,7,0,0,,,,0,,3,0,,-3
350000,2020-07-01 10:43:48,福建,363,0,359,1,0,0,,,,0,,2,0,,-2
130000,2020-07-01 00:04:01,河北,349,0,334,6,0,0,,,,0,,0,0,,0
610000,2020-07-01 10:43:48,陕西,320,0,309,3,0,0,,,,0,,1,0,,-1
450000,2020-07-01 00:04:02,广西,254,0,252,2,0,0,,,,0,,0,0,,0
150000,2020-07-01 00:04:02,内蒙古,238,0,237,1,0,0,,,,0,,0,0,,0
140000,2020-07-01 00:04:02,山西,198,0,198,0,0,0,,,,0,,0,0,,0
120000,2020-07-01 00:04:01,天津,198,0,194,3,0,0,,,,0,,0,0,,0
530000,2020-07-01 00:04:02,云南,185,0,183,2,0,0,,,,0,,0,0,,0
460000,2020-07-01 00:04:01,海南,171,0,165,6,0,0,,,,0,,0,0,,0
620000,2020-07-01 10:43:48,甘肃,164,0,146,2,0,0,,,,0,,3,0,,-3
220000,2020-07-01 00:04:01,吉林,155,0,153,2,0,0,,,,0,,0,0,,0
210000,2020-07-01 10:43:48,辽宁,155,0,148,2,0,0,,,,0,,1,0,,-1
520000,2020-07-01 00:04:02,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
650000,2020-07-01 00:04:01,新疆,76,0,73,3,0,0,,,,0,,0,0,,0
640000,2020-07-01 00:04:01,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2020-07-01 00:04:01,澳门,46,0,45,0,0,0,,,,0,,0,0,,0
630000,2020-07-01 00:04:01,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2020-07-01 00:04:01,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
